model,model_label,failure_regime,soft_recall,soft_precision,soft_fdr,soft_direction_accuracy,hard_direction_accuracy,sid_rate,snr,detection_power
deepseek-r1,DeepSeek-R1,balanced,"{'estimate': 0.6206896551724138, 'ci_low': 0.5, 'ci_high': 0.7413793103448276}","{'estimate': 0.6, 'ci_low': 0.5, 'ci_high': 0.7111217948717948}","{'estimate': 0.4, 'ci_low': 0.2888782051282051, 'ci_high': 0.5}","{'estimate': 0.7777777777777778, 'ci_low': 0.631578947368421, 'ci_high': 0.9024390243902439}","{'estimate': 0.6666666666666666, 'ci_low': 0.2, 'ci_high': 1.0}","{'estimate': 0.13991769547325103, 'ci_low': 0.09876543209876543, 'ci_high': 0.18518518518518517}","{'estimate': 2.1408706737732324, 'ci_low': 1.4160168501753987, 'ci_high': 2.824874493051137}","{'estimate': 0.1728395061728395, 'ci_low': 0.03642987249544627, 'ci_high': 0.30059198542805077}"
kimi-k2.5,Kimi K2.5,broad but noisy,"{'estimate': 0.7413793103448276, 'ci_low': 0.6206896551724138, 'ci_high': 0.8448275862068966}","{'estimate': 0.6615384615384615, 'ci_low': 0.5693975225225225, 'ci_high': 0.7627118644067796}","{'estimate': 0.3384615384615385, 'ci_low': 0.23728813559322035, 'ci_high': 0.43060247747747726}","{'estimate': 0.6744186046511628, 'ci_low': 0.5305413832199547, 'ci_high': 0.8}","{'estimate': 0.5, 'ci_low': 0.0, 'ci_high': 1.0}","{'estimate': 0.16666666666666666, 'ci_low': 0.12195121951219512, 'ci_high': 0.21138211382113822}","{'estimate': 2.45643773212848, 'ci_low': 1.8071959801805348, 'ci_high': 3.170075076831754}","{'estimate': 0.2073170731707317, 'ci_low': 0.12495888157894737, 'ci_high': 0.2911184210526316}"
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,partial and brittle,"{'estimate': 0.39655172413793105, 'ci_low': 0.27586206896551724, 'ci_high': 0.5344827586206896}","{'estimate': 0.5348837209302325, 'ci_low': 0.40625, 'ci_high': 0.6750168918918918}","{'estimate': 0.46511627906976744, 'ci_low': 0.3249831081081081, 'ci_high': 0.59375}","{'estimate': 0.7391304347826086, 'ci_low': 0.55, 'ci_high': 0.9130434782608695}","{'estimate': 0.0, 'ci_low': 0.0, 'ci_high': 0.0}","{'estimate': 0.1350210970464135, 'ci_low': 0.09282700421940929, 'ci_high': 0.18143459915611815}","{'estimate': 1.8720564546673022, 'ci_low': 1.4877885144371032, 'ci_high': 2.9351348427275012}","{'estimate': 0.15611814345991562, 'ci_low': 0.10620915032679738, 'ci_high': 0.20751633986928106}"
mistral-small-24b,Mistral-Small-24B,partial and brittle,"{'estimate': 0.43103448275862066, 'ci_low': 0.3103448275862069, 'ci_high': 0.5517241379310345}","{'estimate': 0.625, 'ci_low': 0.49090051457975986, 'ci_high': 0.7575757575757576}","{'estimate': 0.375, 'ci_low': 0.24242424242424243, 'ci_high': 0.5090994854202401}","{'estimate': 0.72, 'ci_low': 0.5357142857142857, 'ci_high': 0.8889880952380946}","{'estimate': 0.0, 'ci_low': 0.0, 'ci_high': 0.0}","{'estimate': 0.13135593220338984, 'ci_low': 0.08898305084745763, 'ci_high': 0.17372881355932204}","{'estimate': 1.6619754525347188, 'ci_low': 1.3238016658136744, 'ci_high': 2.51238165560028}","{'estimate': 0.13135593220338984, 'ci_low': 0.07969639468690702, 'ci_high': 0.2827324478178368}"
gemma-4-31b-it,Gemma 4 31B,partial and brittle,"{'estimate': 0.41379310344827586, 'ci_low': 0.29310344827586204, 'ci_high': 0.5344827586206896}","{'estimate': 0.6666666666666666, 'ci_low': 0.5312040441176471, 'ci_high': 0.8148391812865495}","{'estimate': 0.3333333333333333, 'ci_low': 0.18516081871345028, 'ci_high': 0.4687959558823527}","{'estimate': 0.7083333333333334, 'ci_low': 0.5217391304347826, 'ci_high': 0.8800588235294114}","{'estimate': 0.25, 'ci_low': 0.0, 'ci_high': 1.0}","{'estimate': 0.1623931623931624, 'ci_low': 0.11538461538461539, 'ci_high': 0.2094017094017094}","{'estimate': 1.7962213342215099, 'ci_low': 1.2034795241435947, 'ci_high': 2.879912249153058}","{'estimate': 0.11965811965811966, 'ci_low': 0.02109704641350211, 'ci_high': 0.29324894514767935}"
llama-3.1-8b,Llama 3.1-8B,fragmentary,"{'estimate': 0.1724137931034483, 'ci_low': 0.08620689655172414, 'ci_high': 0.27586206896551724}","{'estimate': 0.7142857142857143, 'ci_low': 0.46653846153846157, 'ci_high': 0.9285714285714286}","{'estimate': 0.2857142857142857, 'ci_low': 0.07142857142857142, 'ci_high': 0.5334615384615378}","{'estimate': 0.5, 'ci_low': 0.16666666666666666, 'ci_high': 0.8}","{'estimate': 0.0, 'ci_low': 0.0, 'ci_high': 0.0}","{'estimate': 0.19313304721030042, 'ci_low': 0.1459227467811159, 'ci_high': 0.24892703862660945}","{'estimate': 0.8001029095532727, 'ci_low': 0.7159553326069604, 'ci_high': 1.7036974342918523}","{'estimate': 0.02575107296137339, 'ci_low': 0.0, 'ci_high': 0.2585034013605442}"
