model,soft_recall,hard_recall,direction_accuracy,sid_normalised,snr,detection_power
deepseek-r1,0.6206896551724138,0.10344827586206896,0.7777777777777778,0.13991769547325103,2.140870673773232,0.1728395061728395
kimi-k2.5,0.7413793103448276,0.06896551724137931,0.6744186046511628,0.16666666666666666,2.45643773212848,0.2073170731707317
qwen3-next-80b-instruct,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.1350210970464135,1.8720564546673024,0.15611814345991562
mistral-small-24b,0.43103448275862066,0.017241379310344827,0.72,0.13135593220338984,1.6619754525347186,0.13135593220338984
llama-3.1-8b,0.1724137931034483,0.0,0.5,0.19313304721030042,0.8001029095532727,0.02575107296137339
