edge_id,model,hard_detected,soft_detected,direction_correct,detection_rate,mean_jsd,median_jsd,jsd_ci_lower,jsd_ci_upper,omnibus_significant
S69R,deepseek-r1,False,True,False,0.3333333333333333,0.2803605769896889,0.17265758630289266,0.13380184229862077,0.4473126432819107,False
S77R,deepseek-r1,False,True,True,0.5,0.24402454470767282,0.1301764318748411,0.023138934199845067,0.5257803166256599,False
S70,deepseek-r1,True,True,False,1.0,0.6931471782959896,0.6931471782959896,0.0,0.0,True
S67,deepseek-r1,False,True,True,0.2,0.1858032116746272,0.04406743846251934,0.011043901271673387,0.453191268492888,True
S73R,deepseek-r1,False,True,True,0.2,0.1858032116746272,0.04406743846251934,0.011043901271673387,0.453191268492888,True
S55R,deepseek-r1,False,False,True,0.0,0.14172766861148642,0.15856953743102659,0.1027168794560364,0.16389658894739628,False
S116,deepseek-r1,False,False,True,0.0,0.14172766861148642,0.15856953743102659,0.1027168794560364,0.16389658894739628,False
S119R,deepseek-r1,False,False,True,0.0,0.09848029256701883,0.08879931952529137,0.06230872044136132,0.13708848196790474,False
S31R,deepseek-r1,False,False,True,0.0,0.14172766861148642,0.15856953743102659,0.1027168794560364,0.16389658894739628,False
S120R,deepseek-r1,False,False,True,0.0,0.14172766861148642,0.15856953743102659,0.1027168794560364,0.16389658894739628,False
S30,deepseek-r1,False,False,True,0.0,0.14172766861148642,0.15856953743102659,0.1027168794560364,0.16389658894739628,False
SA6,deepseek-r1,True,True,False,1.0,0.4187447388026926,0.4228104530737251,0.2649654685463806,0.5684582947879722,True
S121R,deepseek-r1,True,True,True,0.5714285714285714,0.44474797222227913,0.4228104530737251,0.30029166459622847,0.5892042798483297,True
S129,deepseek-r1,False,True,True,0.5,0.48375282235165884,0.48375282235165884,0.0,0.0,True
S88,deepseek-r1,False,True,True,0.2,0.21272749004557484,0.27847764174391715,0.06415169353084552,0.3613032865603042,True
S84,deepseek-r1,False,True,False,0.25,0.1962899521209893,0.1695721387256555,0.010570206477577615,0.38200969776440097,True
S111R,deepseek-r1,False,True,False,0.25,0.1962899521209893,0.1695721387256555,0.010570206477577615,0.38200969776440097,True
S89,deepseek-r1,False,True,True,0.0,0.27847764174391715,0.27847764174391715,0.0,0.0,True
S13,deepseek-r1,False,True,False,0.125,0.17229150724551526,0.15841734924807405,0.09391981985574771,0.24876200033055001,True
S75R,deepseek-r1,False,False,False,0.14285714285714285,0.1457449736209148,0.14143395350594729,0.06295957525065231,0.23284139210614482,False
