mode,model,model_label,soft_detection_rate,hard_detection_rate,hard_mean_jsd_threshold,soft_recall,hard_recall,soft_direction_accuracy,hard_direction_accuracy,soft_precision,soft_fdr,hard_precision,hard_fdr
locked_default,deepseek-r1,DeepSeek-R1,,,,0.6206896551724138,0.10344827586206896,0.7777777777777778,0.6666666666666666,0.6,0.4,0.2,0.8
locked_default,kimi-k2.5,Kimi K2.5,,,,0.7413793103448276,0.06896551724137931,0.6744186046511628,0.5,0.6615384615384615,0.3384615384615385,0.15384615384615385,0.8461538461538461
locked_default,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,,,,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.047619047619047616,0.9523809523809523
locked_default,mistral-small-24b,Mistral-Small-24B,,,,0.43103448275862066,0.017241379310344827,0.72,0.0,0.625,0.375,0.0625,0.9375
locked_default,gemma-4-31b-it,Gemma 4 31B,,,,0.41379310344827586,0.06896551724137931,0.7083333333333334,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
locked_default,llama-3.1-8b,Llama 3.1-8B,,,,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
soft_sweep,deepseek-r1,DeepSeek-R1,0.15,,,0.6551724137931034,0.10344827586206896,0.7894736842105263,0.6666666666666666,0.6129032258064516,0.3870967741935484,0.2,0.8
soft_sweep,kimi-k2.5,Kimi K2.5,0.15,,,0.7413793103448276,0.06896551724137931,0.6744186046511628,0.5,0.6615384615384615,0.3384615384615385,0.15384615384615385,0.8461538461538461
soft_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,0.15,,,0.5,0.017241379310344827,0.7931034482758621,0.0,0.5918367346938775,0.40816326530612246,0.047619047619047616,0.9523809523809523
soft_sweep,mistral-small-24b,Mistral-Small-24B,0.15,,,0.46551724137931033,0.017241379310344827,0.7407407407407407,0.0,0.6428571428571429,0.35714285714285715,0.0625,0.9375
soft_sweep,gemma-4-31b-it,Gemma 4 31B,0.15,,,0.46551724137931033,0.06896551724137931,0.7407407407407407,0.25,0.6923076923076923,0.3076923076923077,0.25,0.75
soft_sweep,llama-3.1-8b,Llama 3.1-8B,0.15,,,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
soft_sweep,deepseek-r1,DeepSeek-R1,0.25,,,0.6206896551724138,0.10344827586206896,0.7777777777777778,0.6666666666666666,0.6,0.4,0.2,0.8
soft_sweep,kimi-k2.5,Kimi K2.5,0.25,,,0.7413793103448276,0.06896551724137931,0.6744186046511628,0.5,0.6615384615384615,0.3384615384615385,0.15384615384615385,0.8461538461538461
soft_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,0.25,,,0.39655172413793105,0.017241379310344827,0.7391304347826086,0.0,0.5348837209302325,0.46511627906976744,0.047619047619047616,0.9523809523809523
soft_sweep,mistral-small-24b,Mistral-Small-24B,0.25,,,0.43103448275862066,0.017241379310344827,0.72,0.0,0.625,0.375,0.0625,0.9375
soft_sweep,gemma-4-31b-it,Gemma 4 31B,0.25,,,0.41379310344827586,0.06896551724137931,0.7083333333333334,0.25,0.6666666666666666,0.3333333333333333,0.25,0.75
soft_sweep,llama-3.1-8b,Llama 3.1-8B,0.25,,,0.1724137931034483,0.0,0.5,0.0,0.7142857142857143,0.2857142857142857,0.0,1.0
soft_sweep,deepseek-r1,DeepSeek-R1,0.35,,,0.5344827586206896,0.10344827586206896,0.7741935483870968,0.6666666666666666,0.5636363636363636,0.43636363636363634,0.2,0.8
soft_sweep,kimi-k2.5,Kimi K2.5,0.35,,,0.7241379310344828,0.06896551724137931,0.6666666666666666,0.5,0.65625,0.34375,0.15384615384615385,0.8461538461538461
soft_sweep,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,0.35,,,0.25862068965517243,0.017241379310344827,0.7333333333333333,0.0,0.42857142857142855,0.5714285714285714,0.047619047619047616,0.9523809523809523
soft_sweep,mistral-small-24b,Mistral-Small-24B,0.35,,,0.29310344827586204,0.017241379310344827,0.7058823529411765,0.0,0.53125,0.46875,0.0625,0.9375
soft_sweep,gemma-4-31b-it,Gemma 4 31B,0.35,,,0.39655172413793105,0.06896551724137931,0.7391304347826086,0.25,0.6571428571428571,0.34285714285714286,0.25,0.75
soft_sweep,llama-3.1-8b,Llama 3.1-8B,0.35,,,0.15517241379310345,0.0,0.4444444444444444,0.0,0.6923076923076923,0.3076923076923077,0.0,1.0
hard_sweep,deepseek-r1,DeepSeek-R1,,0.4,0.05,0.6206896551724138,0.1896551724137931,0.7777777777777778,0.7272727272727273,0.6,0.4,0.3142857142857143,0.6857142857142857
hard_sweep,kimi-k2.5,Kimi K2.5,,0.4,0.05,0.7413793103448276,0.27586206896551724,0.6744186046511628,0.6875,0.6615384615384615,0.3384615384615385,0.42105263157894735,0.5789473684210527
