model,model_label,run_count,n_subsamples,mean_causal_jsd_median,mean_causal_jsd_q10,mean_causal_jsd_q90,mean_null_jsd_median,snr_median,detection_power_median
deepseek-r1,DeepSeek-R1,1,50,0.3390064802146324,0.2888113242899957,0.36581071347955746,0.250877117829503,1.3734202939174303,0.0
deepseek-r1,DeepSeek-R1,2,50,0.2600504025782342,0.24173710097449,0.30737182905471144,0.1707704233144816,1.544880584699818,0.0
deepseek-r1,DeepSeek-R1,3,50,0.23457203857336406,0.21355390421564896,0.2649393040893177,0.1406752674536762,1.6539740578173685,0.16701530429807623
deepseek-r1,DeepSeek-R1,4,50,0.2097700119653655,0.19629286023680412,0.23368416778197926,0.12260275151490042,1.7513281135663612,0.16630912701226863
deepseek-r1,DeepSeek-R1,5,50,0.20323297110828065,0.1849327784946006,0.2164172615808245,0.11507491740741774,1.75639138698368,0.18410364145658265
deepseek-r1,DeepSeek-R1,6,50,0.1947379401561709,0.18408748140639639,0.20810417965471179,0.10005268201918176,1.94930896181501,0.2062469615945552
deepseek-r1,DeepSeek-R1,7,50,0.1875526968907794,0.1728534350103175,0.1987020522739403,0.09325933096841385,1.9924616233058199,0.20414612125842074
deepseek-r1,DeepSeek-R1,8,50,0.17714560233420718,0.16634301325188874,0.19052320312632612,0.08912726257826623,2.0150139724809764,0.22613943557690652
deepseek-r1,DeepSeek-R1,9,50,0.1745138065836072,0.16121082170893042,0.18541905775312897,0.0832605760393914,2.064898677442672,0.21532183395631152
deepseek-r1,DeepSeek-R1,10,50,0.1707546662352291,0.15988302031941562,0.17809860921620238,0.07968487072911601,2.1144886721963774,0.22061524334251606
deepseek-r1,DeepSeek-R1,11,50,0.1649118150639811,0.15847980108843113,0.17113343747071558,0.07814373082850976,2.1138546772862536,0.20618644356018095
deepseek-r1,DeepSeek-R1,12,50,0.1606293800942637,0.15718078882088374,0.16929853631182443,0.07578657190512111,2.1472486282087617,0.20164609053497942
deepseek-r1,DeepSeek-R1,13,50,0.16070322948354449,0.15376016978495527,0.16597147664317244,0.07473371915998395,2.1151029718268273,0.205761316872428
deepseek-r1,DeepSeek-R1,14,50,0.15710407452353628,0.1523751387218408,0.1610844518757868,0.0744387996510191,2.1333901175977923,0.1876254123728871
deepseek-r1,DeepSeek-R1,15,1,0.15449163185327258,0.15449163185327258,0.15449163185327258,0.07216299132211704,2.140870673773232,0.1728395061728395
kimi-k2.5,Kimi K2.5,1,50,0.3341959609641378,0.28802006038783123,0.3833071953710541,0.22812438779361685,1.345565749235474,0.0
kimi-k2.5,Kimi K2.5,2,50,0.27326099076298455,0.2540719720669469,0.31362867046440673,0.18106990190894418,1.5575999442918125,0.0
kimi-k2.5,Kimi K2.5,3,50,0.24987152009408864,0.22788065886868955,0.27041520307871114,0.15681308066353217,1.6010542094831655,0.11277705345501957
kimi-k2.5,Kimi K2.5,4,50,0.23290009707632542,0.21793624818244678,0.25022288566646755,0.13880685486406796,1.728977593638691,0.17192664744356145
kimi-k2.5,Kimi K2.5,5,50,0.23057990792021532,0.2145352813820549,0.24418004140770921,0.12439864801911717,1.8654651456437878,0.17610140290425794
kimi-k2.5,Kimi K2.5,6,50,0.2167708315965085,0.20491132922891547,0.23261438742390533,0.11571626410055202,1.8929627944831822,0.18257575757575756
kimi-k2.5,Kimi K2.5,7,50,0.2128684497354768,0.19998746284029542,0.2236524449080951,0.107267124838726,1.9825918878217639,0.18988694026528977
kimi-k2.5,Kimi K2.5,8,50,0.20710894300131388,0.19955094672611565,0.2215041778478415,0.10189453423979808,2.0641800432379913,0.20125324697230373
kimi-k2.5,Kimi K2.5,9,50,0.20360463882488222,0.19272895493405276,0.2118628408220757,0.09876717715281999,2.0418430960127867,0.19216057920530027
kimi-k2.5,Kimi K2.5,10,50,0.19922407484762256,0.19409314922552623,0.2049027017110125,0.09383498440697163,2.12694947961552,0.1889125008432841
kimi-k2.5,Kimi K2.5,11,50,0.19595257370213032,0.19056495906844909,0.2021408130427707,0.09058876340945493,2.1691218087019974,0.19426879453979726
kimi-k2.5,Kimi K2.5,12,50,0.19447767373096558,0.18987362122962903,0.19909781416338776,0.08683379570807447,2.235324494619618,0.18737348597975775
kimi-k2.5,Kimi K2.5,13,50,0.19133462306104893,0.18612849476447785,0.193891068963539,0.08203706840589635,2.325775582525403,0.1910569105691057
kimi-k2.5,Kimi K2.5,14,50,0.1892095411391106,0.18740247406241856,0.19178562125337756,0.07956199655285451,2.385908993237313,0.2167770751781592
kimi-k2.5,Kimi K2.5,15,1,0.18737096784730958,0.18737096784730958,0.18737096784730958,0.07627751576872027,2.45643773212848,0.2073170731707317
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,1,50,0.23306025859098162,0.21584846341673364,0.2520535193803598,0.160270598563494,1.3997378768020972,0.0
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,2,50,0.17777791685455774,0.1637228841578148,0.19886481005857246,0.12867700907560625,1.394228551308979,0.0
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,3,50,0.1550969734810949,0.14198606383381338,0.1711135299406179,0.10519970795899969,1.505209832675003,0.11228813559322035
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,4,50,0.14282149742807604,0.1320551470631783,0.15387476802326552,0.09687398083934567,1.4541509669937311,0.1016949152542373
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,5,50,0.1312844940984429,0.12121432852566594,0.13994526649579725,0.08901291921852093,1.464299583277852,0.12658227848101267
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,6,50,0.12376973501774582,0.11459871798078589,0.13289372218390702,0.08263742057047296,1.545266954935737,0.1228813559322034
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,7,50,0.11982674522204281,0.11127880280814496,0.12717487333036515,0.07690817943900885,1.5885308825003381,0.118393763856111
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,8,50,0.11613938448280685,0.10884906402881786,0.12365833784323989,0.0727239010077923,1.5858460754759578,0.12262211256525782
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,9,50,0.11205436144246769,0.10897301165101402,0.1178005211190133,0.0680406098483155,1.6319373297616269,0.13135593220338984
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,10,50,0.11068300252928863,0.10668581920280877,0.11554389959742391,0.06694996427452563,1.692729928477104,0.13741686333404848
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,11,50,0.1080455452916786,0.103866575258577,0.11219503085529456,0.061999643558190674,1.733470568315929,0.14345991561181434
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,12,50,0.10622721931035653,0.1039289295969199,0.10935242398651612,0.060280345834266544,1.7462247325741438,0.13924050632911392
qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,13,50,0.10530369560212041,0.10361452179579159,0.10758352999312074,0.05823297244331922,1.7935492750584021,0.14556962025316456
