run_count,replicate,model,model_label,selected_runs,mean_causal_jsd,mean_null_jsd,snr,detection_power
2,20,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,"3,11",0.1775273591588225,0.1343935872128319,1.3209511170922312,0.0
2,20,mistral-small-24b,Mistral-Small-24B,"3,11",0.216609048533476,0.15349560108656282,1.4111743072775147,0.12173913043478261
2,20,gemma-4-31b-it,Gemma 4 31B,"3,11",0.18879394499528462,0.16839998813670373,1.1211042654113816,0.0
2,20,llama-3.1-8b,Llama 3.1-8B,"3,11",0.08972693934342137,0.1378372548266939,0.650962901548186,0.0
2,21,deepseek-r1,DeepSeek-R1,"6,7",0.2575008313269116,0.17214296461371853,1.4958545178115903,0.0
2,21,kimi-k2.5,Kimi K2.5,"6,7",0.26607650457727017,0.1838686606828054,1.4471009012040543,0.0
2,21,qwen3-next-80b-instruct,Qwen3-Next-80B-A3B-Instruct,"6,7",0.1749571790729659,0.1150551035744027,1.5206381432686844,0.0
2,21,mistral-small-24b,Mistral-Small-24B,"6,7",0.2418555421287844,0.15137974162257914,1.5976744281396653,0.15021459227467812
2,21,gemma-4-31b-it,Gemma 4 31B,"6,7",0.25182658791697143,0.15322199840196077,1.64354068308346,0.0
2,21,llama-3.1-8b,Llama 3.1-8B,"6,7",0.10002592520687335,0.13344715344768066,0.7495545811405379,0.035897435897435895
2,22,deepseek-r1,DeepSeek-R1,"0,2",0.2717721033690056,0.19117164501312028,1.4216130396866837,0.12446351931330472
